,Mild_DR,NO_DR,moderate_DR,proliferative_DR,severe_DR
Mild_DR,289,8,67,66,11
NO_DR,13,391,1,0,0
moderate_DR,41,3,259,46,34
proliferative_DR,12,0,45,270,51
severe_DR,3,0,32,103,255
