,Mild_DR,NO_DR,moderate_DR,proliferative_DR,severe_DR
Mild_DR,296,8,41,23,15
NO_DR,9,401,2,0,0
moderate_DR,46,5,282,35,29
proliferative_DR,15,0,40,287,60
severe_DR,6,0,41,33,326
